candle_ts,tick,time_remaining,opportunity_type,price_at_decision,potential_return_pct,confidence,expected_return,btc_change_pct
1769361300,1,93.03%,NO,0.325,207.7%,23.47%,26.68%,0.000%
1769361300,2,92.39%,NO,0.345,189.9%,17.88%,29.53%,-0.006%
1769361300,3,91.77%,NO,0.285,250.9%,25.09%,33.85%,0.033%
1769361300,4,91.10%,NO,0.285,250.9%,24.76%,35.65%,0.010%
1769361300,5,90.49%,NO,0.310,222.6%,27.23%,35.51%,0.011%
1769361300,6,89.87%,NO,0.305,227.9%,30.44%,36.35%,0.011%
1769361300,7,89.25%,NO,0.275,263.6%,32.30%,36.07%,0.040%
1769361300,8,88.62%,NO,0.275,263.6%,30.68%,35.07%,0.037%
1769361300,9,88.00%,NO,0.275,263.6%,29.68%,34.14%,0.037%
1769361300,10,87.37%,NO,0.375,166.7%,12.28%,37.29%,-0.047%
1769361300,11,86.75%,NO,0.405,146.9%,9.88%,38.34%,-0.047%
1769361300,12,86.14%,NO,0.415,141.0%,9.41%,37.69%,-0.047%
1769361300,13,85.51%,NO,0.405,146.9%,9.25%,37.87%,-0.039%
1769361300,14,84.84%,NO,0.385,159.7%,8.58%,39.15%,-0.034%
1769361300,15,84.23%,NO,0.425,135.3%,10.11%,33.48%,-0.034%
1769361300,16,83.61%,NO,0.425,135.3%,11.13%,31.74%,-0.034%
1769361300,17,82.99%,NO,0.445,124.7%,11.31%,32.38%,-0.048%
1769361300,18,82.38%,NO,0.445,124.7%,14.37%,24.41%,-0.048%
1769361300,19,81.76%,NO,0.415,141.0%,14.72%,28.14%,-0.048%
1769361300,20,81.14%,NO,0.395,153.2%,16.36%,27.03%,-0.039%
1769361300,21,80.52%,NO,0.385,159.7%,15.55%,29.27%,-0.039%
1769361300,22,79.90%,NO,0.375,166.7%,20.76%,23.68%,-0.039%
1769361300,23,79.28%,NO,0.355,181.7%,19.61%,24.78%,-0.023%
1769361300,24,78.66%,NO,0.345,189.9%,21.55%,24.55%,-0.023%
1769361300,27,76.81%,NO,0.320,212.5%,10.99%,36.49%,-0.008%
1769361300,29,75.57%,NO,0.395,153.2%,13.90%,40.60%,-0.034%
1769361300,41,68.13%,NO,0.425,135.3%,18.98%,10.69%,-0.059%
1769361300,42,67.50%,NO,0.415,141.0%,11.80%,24.23%,-0.056%
1769361300,43,66.89%,NO,0.335,198.5%,11.65%,29.20%,-0.024%
1769361300,44,66.27%,NO,0.265,277.4%,6.27%,18.33%,0.029%
1769361300,45,65.65%,NO,0.245,308.2%,64.05%,-0.03%,0.029%
1769361300,46,65.03%,NO,0.265,277.4%,7.18%,11.03%,0.029%
1769361300,47,64.42%,NO,0.185,440.5%,10.95%,7.72%,0.072%
1769361300,48,63.80%,NO,0.175,471.4%,13.99%,10.93%,0.072%
1769361300,49,63.17%,NO,0.185,440.5%,13.37%,23.08%,0.072%
1769361300,50,62.55%,NO,0.245,308.2%,9.40%,36.62%,0.041%
1769361300,51,61.94%,NO,0.235,325.5%,14.67%,36.64%,0.039%
1769361300,55,59.40%,NO,0.235,325.5%,15.89%,30.32%,0.035%
1769361300,56,58.78%,NO,0.205,387.8%,19.19%,20.91%,0.041%
1769361300,57,58.16%,NO,0.205,387.8%,19.84%,37.79%,0.041%
1769361300,58,57.54%,NO,0.165,506.1%,74.76%,19.48%,0.058%
1769361300,59,56.92%,NO,0.135,640.7%,95.74%,3.77%,0.083%
1769361300,61,55.68%,NO,0.125,700.0%,95.18%,4.66%,0.083%
1769361300,62,55.06%,NO,0.125,700.0%,96.02%,1.22%,0.083%
1769361300,63,54.44%,NO,0.125,700.0%,96.85%,6.87%,0.102%
1769361300,64,53.82%,NO,0.105,852.4%,65.60%,1.34%,0.108%
1769361300,65,53.20%,NO,0.115,769.6%,93.33%,-1.92%,0.103%
1769361300,66,52.59%,NO,0.125,700.0%,93.43%,-1.16%,0.088%
1769361300,67,51.96%,NO,0.115,769.6%,94.08%,-0.43%,0.095%
1769361300,68,51.35%,NO,0.125,700.0%,90.38%,-3.70%,0.072%
1769361300,69,50.73%,NO,0.145,589.7%,95.91%,14.49%,0.072%
1769361300,70,50.10%,NO,0.115,769.6%,95.48%,2.05%,0.080%
1769361300,71,49.49%,NO,0.125,700.0%,93.08%,0.76%,0.080%
1769361300,72,48.87%,NO,0.115,769.6%,93.25%,-0.92%,0.080%
1769361300,73,48.25%,NO,0.115,769.6%,93.08%,0.45%,0.080%
1769361300,74,47.58%,NO,0.115,769.6%,94.92%,2.75%,0.080%
1769361300,75,46.96%,NO,0.130,669.2%,94.86%,1.48%,0.056%
1769361300,86,40.16%,NO,0.225,344.4%,91.50%,5.17%,0.011%
1769361300,87,39.55%,NO,0.185,440.5%,96.40%,-1.03%,0.016%
1769361300,88,38.93%,NO,0.205,387.8%,95.06%,2.36%,0.016%
1769361300,89,38.31%,NO,0.205,387.8%,95.80%,17.71%,0.016%
1769361300,91,37.07%,NO,0.265,277.4%,28.57%,48.46%,-0.006%
1769361300,95,34.58%,NO,0.425,135.3%,10.69%,43.57%,-0.070%
1769361300,96,33.96%,NO,0.435,129.9%,17.96%,54.94%,-0.070%
1769361300,98,32.71%,NO,0.535,86.9%,12.01%,40.60%,-0.087%
1769361300,99,32.08%,NO,0.505,98.0%,13.28%,39.53%,-0.087%
1769361300,100,31.47%,NO,0.455,119.8%,15.74%,36.37%,-0.075%
1769361300,101,30.84%,NO,0.465,115.1%,12.04%,34.86%,-0.075%
1769361300,102,30.21%,NO,0.475,110.5%,34.88%,6.64%,-0.075%
1769361300,103,29.54%,NO,0.445,124.7%,42.12%,-2.31%,-0.075%
1769361300,104,28.92%,NO,0.445,124.7%,39.44%,-2.36%,-0.086%
1769361300,105,28.29%,NO,0.495,102.0%,30.89%,4.08%,-0.086%
1769361300,106,27.68%,NO,0.435,129.9%,47.03%,-5.60%,-0.075%
1769361300,107,27.06%,NO,0.505,98.0%,38.89%,-16.68%,-0.086%
1769361300,111,24.58%,NO,0.725,37.9%,43.18%,-13.69%,-0.138%
1769361300,112,23.95%,NO,0.735,36.1%,50.71%,-11.02%,-0.130%
1769361300,113,23.33%,NO,0.765,30.7%,62.10%,-11.07%,-0.139%
1769361300,114,22.71%,NO,0.835,19.8%,45.69%,-11.19%,-0.160%
1769361300,115,22.09%,NO,0.835,19.8%,51.03%,-12.34%,-0.170%
1769361300,116,21.48%,NO,0.795,25.8%,48.76%,-14.91%,-0.152%
1769361300,117,20.86%,NO,0.735,36.1%,52.78%,-14.09%,-0.113%
1769361300,118,20.24%,NO,0.725,37.9%,55.38%,-13.23%,-0.126%
1769362200,151,99.71%,YES,0.515,94.2%,15.73%,32.17%,0.000%
1769362200,152,99.10%,YES,0.525,90.5%,20.12%,26.66%,0.014%
1769362200,153,98.47%,YES,0.410,143.9%,9.75%,35.20%,-0.031%
1769362200,154,97.85%,YES,0.465,115.1%,11.25%,36.83%,-0.017%
1769362200,155,97.24%,YES,0.485,106.2%,12.29%,35.32%,-0.012%
1769362200,156,96.61%,YES,0.485,106.2%,12.37%,35.46%,-0.011%
1769362200,157,96.00%,YES,0.535,86.9%,19.98%,40.78%,0.018%
1769362200,158,95.38%,YES,0.575,73.9%,17.78%,29.42%,0.034%
1769362200,159,94.76%,YES,0.645,55.0%,15.50%,31.94%,0.094%
1769362200,160,94.14%,YES,0.675,48.1%,14.52%,33.58%,0.095%
1769362200,161,93.52%,YES,0.665,50.4%,12.80%,34.49%,0.095%
1769362200,162,92.89%,YES,0.665,50.4%,12.38%,33.04%,0.095%
1769362200,163,92.27%,YES,0.645,55.0%,18.20%,36.68%,0.077%
1769362200,164,91.64%,YES,0.645,55.0%,15.98%,34.11%,0.077%
1769362200,168,89.16%,YES,0.625,60.0%,23.03%,43.12%,0.063%
1769362200,169,88.54%,YES,0.585,70.9%,28.52%,42.09%,0.047%
1769362200,170,87.93%,YES,0.555,80.2%,22.38%,41.49%,0.035%
1769362200,171,87.31%,YES,0.595,68.1%,31.52%,43.96%,0.048%
1769362200,172,86.64%,YES,0.530,88.7%,13.03%,39.08%,-0.026%
1769362200,173,86.02%,YES,0.455,119.8%,11.67%,46.83%,-0.034%
1769362200,177,83.48%,YES,0.375,166.7%,21.43%,33.49%,-0.062%
1769362200,178,82.86%,YES,0.375,166.7%,23.10%,26.76%,-0.062%
1769362200,179,82.24%,YES,0.375,166.7%,24.91%,22.54%,-0.062%
1769362200,180,81.62%,YES,0.365,174.0%,25.06%,19.23%,-0.062%
1769362200,181,81.00%,YES,0.365,174.0%,25.93%,15.09%,-0.062%
1769362200,182,80.38%,YES,0.365,174.0%,28.53%,3.60%,-0.062%
1769362200,183,79.75%,YES,0.375,166.7%,47.30%,-0.16%,-0.035%
1769362200,184,79.14%,YES,0.405,146.9%,48.35%,13.48%,-0.054%
1769362200,185,78.52%,YES,0.385,159.7%,26.04%,23.05%,-0.054%
1769362200,186,77.90%,YES,0.395,153.2%,52.18%,18.19%,-0.048%
1769362200,190,75.42%,YES,0.275,263.6%,14.80%,26.31%,-0.106%
1769362200,191,74.81%,YES,0.285,250.9%,15.74%,32.57%,-0.106%
1769362200,192,74.19%,YES,0.255,292.2%,15.69%,27.26%,-0.121%
1769362200,193,73.57%,YES,0.265,277.4%,13.70%,20.66%,-0.121%
1769362200,221,56.08%,YES,0.575,73.9%,62.98%,3.49%,0.022%
1769362200,222,55.47%,YES,0.565,77.0%,82.86%,0.94%,0.022%
1769362200,223,54.85%,YES,0.565,77.0%,88.29%,4.71%,0.022%
1769362200,224,54.23%,YES,0.555,80.2%,92.56%,17.65%,0.022%
1769362200,225,53.62%,YES,0.595,68.1%,90.91%,8.78%,0.038%
1769362200,226,52.99%,YES,0.605,65.3%,82.51%,-2.34%,0.038%
1769362200,227,52.37%,YES,0.575,73.9%,85.82%,2.35%,0.038%
1769362200,228,51.75%,YES,0.615,62.6%,83.31%,7.68%,0.038%
1769362200,229,51.13%,YES,0.615,62.6%,89.62%,3.79%,0.038%
1769362200,230,50.51%,YES,0.615,62.6%,87.86%,1.24%,0.038%
1769362200,231,49.89%,YES,0.605,65.3%,86.08%,2.64%,0.038%
1769362200,232,49.27%,YES,0.515,94.2%,53.81%,12.75%,0.002%
1769362200,238,45.56%,YES,0.465,115.1%,19.46%,44.99%,-0.002%
1769362200,240,44.32%,YES,0.515,94.2%,20.85%,35.63%,0.014%
1769362200,241,43.70%,YES,0.465,115.1%,31.58%,36.04%,-0.010%
1769362200,242,43.08%,YES,0.455,119.8%,33.91%,31.48%,-0.010%
1769362200,243,42.46%,YES,0.515,94.2%,26.06%,40.15%,0.007%
1769362200,244,41.84%,YES,0.565,77.0%,35.28%,33.12%,0.007%
1769362200,255,35.01%,YES,0.585,70.9%,39.82%,60.20%,0.020%
1769362200,256,34.39%,YES,0.585,70.9%,29.32%,74.80%,0.020%
1769362200,257,33.77%,YES,0.625,60.0%,11.88%,37.53%,0.028%
1769362200,258,33.16%,YES,0.665,50.4%,14.77%,36.90%,0.038%
1769362200,259,32.53%,YES,0.625,60.0%,20.29%,39.30%,0.038%
1769362200,260,31.91%,YES,0.625,60.0%,10.90%,38.02%,0.038%
1769362200,261,31.28%,YES,0.645,55.0%,12.78%,39.85%,0.038%
1769362200,262,30.66%,YES,0.635,57.5%,87.42%,9.69%,0.038%
1769362200,265,28.81%,YES,0.635,57.5%,91.85%,60.17%,0.038%
1769362200,266,28.19%,YES,0.665,50.4%,59.38%,12.46%,0.038%
1769362200,267,27.57%,YES,0.695,43.9%,34.56%,1.69%,0.038%
1769362200,269,26.33%,YES,0.565,77.0%,23.08%,40.14%,0.031%
1769362200,270,25.72%,YES,0.565,77.0%,23.61%,35.81%,0.031%
1769362200,274,23.25%,YES,0.705,41.8%,81.05%,8.12%,0.038%
1769362200,275,22.62%,YES,0.755,32.5%,95.50%,1.49%,0.045%
1769362200,276,22.00%,YES,0.795,25.8%,38.65%,3.83%,0.066%
1769362200,277,21.39%,YES,0.815,22.7%,21.09%,7.10%,0.065%
1769362200,278,20.77%,YES,0.785,27.4%,27.23%,19.27%,0.065%
1769362200,279,20.15%,YES,0.795,25.8%,21.73%,24.04%,0.065%
1769363100,312,99.61%,NO,0.485,106.2%,15.73%,32.17%,0.000%
1769363100,313,99.00%,NO,0.485,106.2%,15.73%,32.17%,0.000%
1769363100,314,98.38%,NO,0.515,94.2%,17.81%,36.71%,0.000%
1769363100,315,97.76%,NO,0.545,83.5%,18.16%,27.24%,-0.016%
1769363100,316,97.15%,NO,0.545,83.5%,17.71%,26.99%,-0.016%
1769363100,317,96.53%,NO,0.555,80.2%,17.20%,26.61%,-0.016%
1769363100,318,95.91%,NO,0.565,77.0%,16.78%,26.05%,-0.016%
1769363100,319,95.30%,NO,0.605,65.3%,16.23%,24.40%,-0.032%
1769363100,320,94.68%,NO,0.605,65.3%,18.87%,20.67%,-0.032%
1769363100,321,94.06%,NO,0.625,60.0%,19.47%,18.84%,-0.039%
1769363100,322,93.45%,NO,0.705,41.8%,15.92%,22.85%,-0.087%
1769363100,323,92.83%,NO,0.655,52.7%,16.18%,25.72%,-0.076%
1769363100,324,92.21%,NO,0.685,46.0%,20.76%,20.84%,-0.076%
1769363100,325,91.59%,NO,0.685,46.0%,22.48%,19.63%,-0.076%
1769363100,326,90.98%,NO,0.685,46.0%,25.26%,16.74%,-0.076%
1769363100,327,90.36%,NO,0.695,43.9%,32.09%,12.50%,-0.086%
1769363100,328,89.73%,NO,0.695,43.9%,31.94%,10.80%,-0.086%
1769363100,329,89.12%,NO,0.695,43.9%,30.19%,9.28%,-0.086%
1769363100,330,88.45%,NO,0.705,41.8%,27.87%,10.83%,-0.093%
1769363100,331,87.83%,NO,0.725,37.9%,34.41%,6.55%,-0.094%
1769363100,332,87.20%,NO,0.725,37.9%,32.73%,6.28%,-0.094%
1769363100,333,86.58%,NO,0.695,43.9%,17.07%,5.78%,-0.094%
1769363100,334,85.96%,NO,0.685,46.0%,13.18%,0.17%,-0.091%
1769363100,335,85.34%,NO,0.685,46.0%,12.81%,26.70%,-0.091%
1769363100,361,69.15%,NO,0.635,57.5%,69.06%,24.71%,-0.059%
1769363100,366,66.04%,NO,0.645,55.0%,23.85%,13.16%,-0.059%
1769363100,369,64.17%,NO,0.755,32.5%,18.38%,19.28%,-0.080%
1769363100,370,63.55%,NO,0.745,34.2%,8.80%,13.11%,-0.080%
1769363100,378,58.57%,NO,0.765,30.7%,35.15%,2.99%,-0.075%
1769363100,379,57.94%,NO,0.785,27.4%,23.31%,20.94%,-0.078%
1769363100,380,57.27%,NO,0.775,29.0%,21.80%,24.80%,-0.078%
1769363100,381,56.64%,NO,0.775,29.0%,13.43%,20.70%,-0.078%
1769363100,382,56.02%,NO,0.725,37.9%,8.62%,22.63%,-0.068%
1769363100,387,52.91%,NO,0.715,39.9%,8.44%,35.25%,-0.053%
1769363100,388,52.29%,NO,0.705,41.8%,10.01%,30.65%,-0.053%
1769363100,389,51.66%,NO,0.705,41.8%,14.52%,35.67%,-0.053%
1769363100,390,51.04%,NO,0.715,39.9%,13.09%,31.48%,-0.053%
1769363100,391,50.42%,NO,0.725,37.9%,14.71%,18.83%,-0.053%
1769363100,392,49.79%,NO,0.725,37.9%,9.76%,22.30%,-0.053%
1769363100,397,46.68%,NO,0.705,41.8%,19.74%,33.39%,-0.058%
1769363100,398,46.06%,NO,0.675,48.1%,57.65%,31.60%,-0.048%
1769363100,413,36.73%,NO,0.715,39.9%,16.02%,28.86%,-0.044%
1769363100,414,36.11%,NO,0.775,29.0%,17.54%,17.05%,-0.059%
1769363100,415,35.49%,NO,0.825,21.2%,19.53%,19.21%,-0.066%
1769363100,416,34.87%,NO,0.825,21.2%,18.19%,32.21%,-0.073%
1769363100,417,34.25%,NO,0.855,17.0%,22.16%,31.29%,-0.080%
1769363100,424,29.92%,NO,0.865,15.6%,51.60%,-11.15%,-0.098%
1769364000,439,28.47%,NO,0.305,227.9%,28.14%,22.08%,0.000%
1769364000,440,27.84%,NO,0.275,263.6%,22.57%,18.11%,0.000%
1769364000,441,27.22%,NO,0.275,263.6%,22.16%,19.00%,0.002%
1769364000,445,24.74%,NO,0.335,198.5%,12.43%,33.16%,-0.012%
1769364000,446,24.13%,NO,0.325,207.7%,12.97%,32.42%,-0.012%
1769364000,447,23.51%,NO,0.335,198.5%,14.30%,29.04%,-0.012%
1769364000,448,22.89%,NO,0.340,194.1%,14.02%,30.40%,-0.012%
1769364000,449,22.27%,NO,0.395,153.2%,12.46%,32.78%,-0.027%
1769364000,452,20.41%,NO,0.650,53.8%,15.36%,17.86%,-0.069%
1769364900,485,99.88%,NO,0.435,129.9%,16.19%,31.00%,0.000%
1769364900,486,99.26%,NO,0.435,129.9%,17.78%,31.34%,0.029%
1769364900,487,98.64%,NO,0.435,129.9%,17.48%,29.99%,0.023%
1769364900,488,98.02%,NO,0.375,166.7%,19.74%,31.34%,0.051%
1769364900,489,97.39%,NO,0.355,181.7%,19.94%,31.93%,0.060%
1769364900,490,96.77%,NO,0.315,217.5%,19.15%,34.18%,0.108%
1769364900,491,96.15%,NO,0.335,198.5%,22.51%,35.12%,0.087%
1769364900,492,95.53%,NO,0.305,227.9%,21.49%,35.90%,0.122%
1769364900,493,94.91%,NO,0.230,334.8%,21.56%,36.34%,0.215%
1769364900,494,94.28%,NO,0.265,277.4%,27.96%,37.88%,0.148%
1769364900,495,93.66%,NO,0.310,222.6%,34.06%,37.58%,0.101%
1769364900,496,93.04%,NO,0.395,153.2%,29.31%,39.02%,0.066%
1769364900,500,90.55%,NO,0.275,263.6%,38.36%,39.42%,0.148%
1769364900,501,89.93%,NO,0.285,250.9%,22.84%,34.99%,0.133%
1769364900,502,89.30%,NO,0.295,239.0%,25.70%,33.05%,0.128%
1769364900,507,86.21%,NO,0.275,263.6%,53.20%,42.98%,0.149%
1769364900,515,81.16%,NO,0.345,189.9%,57.91%,23.75%,0.074%
1769364900,523,76.20%,NO,0.665,50.4%,21.73%,35.21%,-0.161%
1769364900,524,75.58%,NO,0.735,36.1%,24.05%,22.53%,-0.110%
1769364900,525,74.95%,NO,0.690,44.9%,24.66%,22.97%,-0.072%
1769364900,526,74.33%,NO,0.620,61.3%,21.93%,31.60%,-0.090%
1769364900,527,73.71%,NO,0.625,60.0%,31.88%,15.28%,-0.084%
1769364900,528,73.09%,NO,0.575,73.9%,40.29%,-2.10%,-0.072%
1769364900,529,72.47%,NO,0.575,73.9%,44.66%,-9.63%,-0.075%
1769364900,530,71.80%,NO,0.555,80.2%,38.19%,-6.79%,-0.063%
1769364900,531,71.18%,NO,0.555,80.2%,39.23%,6.22%,-0.064%
1769364900,532,70.56%,NO,0.535,86.9%,63.91%,-5.18%,-0.047%
1769364900,533,69.93%,NO,0.545,83.5%,34.88%,6.57%,-0.059%
1769364900,536,68.07%,NO,0.505,98.0%,11.07%,14.94%,-0.032%
1769364900,545,62.51%,NO,0.285,250.9%,13.44%,27.47%,0.091%
1769364900,547,61.26%,NO,0.410,143.9%,14.47%,36.62%,0.016%
1769364900,551,58.76%,NO,0.395,153.2%,12.60%,40.37%,0.016%
1769364900,552,58.16%,NO,0.465,115.1%,26.04%,17.27%,-0.006%
1769364900,553,57.53%,NO,0.445,124.7%,51.55%,-0.97%,0.004%
1769364900,554,56.91%,NO,0.405,146.9%,49.66%,-8.04%,0.025%
1769364900,555,56.29%,NO,0.335,198.5%,93.24%,20.53%,0.046%
1769364900,556,55.67%,NO,0.315,217.5%,95.00%,13.82%,0.056%
1769364900,557,55.05%,NO,0.325,207.7%,95.16%,5.14%,0.052%
1769364900,558,54.43%,NO,0.355,181.7%,86.00%,1.56%,0.052%
1769364900,559,53.81%,NO,0.345,189.9%,87.25%,4.14%,0.052%
1769364900,560,53.19%,NO,0.355,181.7%,90.98%,5.78%,0.038%
1769364900,561,52.57%,NO,0.320,212.5%,91.98%,16.93%,0.052%
1769364900,562,51.95%,NO,0.345,189.9%,86.86%,21.05%,0.052%
1769364900,563,51.33%,NO,0.340,194.1%,69.22%,0.11%,0.029%
1769364900,564,50.71%,NO,0.405,146.9%,30.91%,22.90%,0.021%
1769364900,569,47.60%,NO,0.605,65.3%,18.68%,13.76%,-0.063%
1769364900,570,46.98%,NO,0.575,73.9%,25.90%,2.95%,-0.059%
1769364900,571,46.36%,NO,0.615,62.6%,32.32%,-8.17%,-0.063%
1769364900,572,45.74%,NO,0.590,69.5%,43.43%,-10.99%,-0.059%
1769364900,573,45.13%,NO,0.595,68.1%,35.93%,-5.57%,-0.059%
1769364900,574,44.50%,NO,0.615,62.6%,52.73%,-12.65%,-0.065%
1769364900,575,43.88%,NO,0.625,60.0%,44.75%,-4.78%,-0.072%
1769364900,576,43.26%,NO,0.615,62.6%,64.94%,-13.42%,-0.068%
1769364900,577,42.64%,NO,0.585,70.9%,51.17%,-10.55%,-0.059%
1769364900,578,42.02%,NO,0.635,57.5%,51.22%,-9.34%,-0.067%
1769364900,579,41.39%,NO,0.655,52.7%,51.98%,-10.78%,-0.082%
1769364900,580,40.77%,NO,0.605,65.3%,23.01%,-4.98%,-0.059%
1769364900,587,36.38%,NO,0.655,52.7%,25.20%,4.96%,-0.063%
1769364900,594,31.92%,NO,0.795,25.8%,35.79%,-9.64%,-0.121%
1769364900,595,31.30%,NO,0.805,24.2%,37.46%,-7.98%,-0.120%
1769364900,596,30.69%,NO,0.825,21.2%,24.93%,-8.62%,-0.127%
1769364900,597,30.06%,NO,0.805,24.2%,25.56%,-9.11%,-0.120%
1769364900,599,28.82%,NO,0.765,30.7%,13.17%,-10.94%,-0.096%
1769364900,601,27.58%,NO,0.760,31.6%,28.44%,-15.16%,-0.096%
1769364900,602,26.96%,NO,0.845,18.3%,54.56%,-16.55%,-0.143%
1769364900,603,26.34%,NO,0.865,15.6%,51.12%,-15.70%,-0.143%
1769365800,646,99.58%,NO,0.465,115.1%,15.78%,31.62%,0.000%
1769365800,647,98.95%,NO,0.485,106.2%,15.40%,30.84%,-0.009%
1769365800,648,98.32%,NO,0.465,115.1%,18.58%,35.81%,0.004%
1769365800,649,97.70%,NO,0.445,124.7%,25.72%,33.26%,0.016%
1769365800,650,97.08%,NO,0.395,153.2%,25.85%,33.56%,0.050%
1769365800,651,96.45%,NO,0.345,189.9%,22.91%,33.40%,0.077%
1769365800,652,95.83%,NO,0.345,189.9%,21.92%,32.97%,0.055%
1769365800,653,95.21%,NO,0.395,153.2%,28.70%,35.75%,0.056%
1769365800,654,94.59%,NO,0.395,153.2%,31.28%,37.14%,0.041%
1769365800,655,93.98%,NO,0.405,146.9%,34.75%,38.58%,0.040%
1769365800,658,92.11%,NO,0.455,119.8%,23.93%,45.15%,0.018%
1769365800,661,90.25%,NO,0.355,181.7%,31.07%,34.28%,0.071%
1769365800,662,89.63%,NO,0.365,174.0%,26.95%,36.78%,0.069%
1769365800,663,89.02%,NO,0.365,174.0%,23.99%,34.71%,0.068%
1769365800,664,88.40%,NO,0.355,181.7%,32.13%,40.73%,0.062%
1769365800,665,87.79%,NO,0.375,166.7%,21.65%,35.11%,0.062%
1769365800,666,87.17%,NO,0.385,159.7%,36.98%,52.78%,0.062%
1769365800,668,85.87%,NO,0.345,189.9%,24.37%,34.46%,0.067%
1769365800,670,84.63%,NO,0.465,115.1%,11.59%,43.25%,0.007%
1769365800,671,84.02%,NO,0.465,115.1%,10.67%,42.54%,0.019%
1769365800,672,83.40%,NO,0.470,112.8%,14.12%,38.40%,-0.046%
1769365800,673,82.77%,NO,0.565,77.0%,9.06%,46.07%,-0.105%
1769365800,674,82.15%,NO,0.630,58.7%,9.61%,44.16%,-0.148%
1769365800,675,81.54%,NO,0.670,49.3%,13.99%,35.19%,-0.146%
1769365800,676,80.92%,NO,0.675,48.1%,18.18%,32.71%,-0.156%
1769365800,677,80.31%,NO,0.710,40.8%,22.97%,25.63%,-0.086%
1769365800,678,79.68%,NO,0.695,43.9%,26.50%,15.71%,-0.161%
1769365800,679,79.06%,NO,0.670,49.3%,34.02%,3.35%,-0.062%
1769365800,680,78.45%,NO,0.585,70.9%,35.75%,3.90%,0.002%
1769365800,681,77.83%,NO,0.505,98.0%,27.83%,10.06%,0.023%
1769365800,682,77.21%,NO,0.450,122.2%,34.70%,0.66%,-0.000%
1769365800,683,76.59%,NO,0.515,94.2%,52.94%,-7.87%,-0.023%
1769365800,684,75.96%,NO,0.565,77.0%,35.46%,1.02%,-0.051%
1769365800,685,75.34%,NO,0.575,73.9%,14.87%,34.55%,-0.053%
1769365800,686,74.72%,NO,0.635,57.5%,15.67%,35.11%,-0.087%
1769365800,691,71.62%,NO,0.635,57.5%,14.37%,34.20%,-0.124%
1769365800,694,69.76%,NO,0.675,48.1%,16.34%,18.81%,-0.170%
1769365800,695,69.14%,NO,0.685,46.0%,36.24%,-5.70%,-0.134%
1769365800,696,68.52%,NO,0.695,43.9%,37.41%,0.76%,-0.149%
1769365800,697,67.90%,NO,0.705,41.8%,55.59%,-13.60%,-0.146%
1769365800,698,67.28%,NO,0.695,43.9%,41.92%,-11.78%,-0.137%
1769365800,699,66.66%,NO,0.790,26.6%,44.08%,-7.65%,-0.217%
1769365800,700,66.04%,NO,0.745,34.2%,28.30%,-8.33%,-0.155%
1769365800,702,64.80%,NO,0.675,48.1%,12.30%,-12.97%,-0.121%
1769365800,719,54.25%,NO,0.565,77.0%,21.77%,-11.20%,-0.035%
1769365800,722,52.38%,NO,0.565,77.0%,40.27%,1.03%,-0.032%
1769365800,725,50.52%,NO,0.745,34.2%,21.09%,19.40%,-0.131%
1769365800,726,49.90%,NO,0.765,30.7%,33.21%,14.51%,-0.135%
1769365800,727,49.28%,NO,0.725,37.9%,33.53%,19.03%,-0.126%
1769365800,728,48.64%,NO,0.705,41.8%,29.71%,8.63%,-0.114%
1769365800,729,48.03%,NO,0.745,34.2%,53.05%,-10.17%,-0.134%
1769365800,730,47.41%,NO,0.715,39.9%,40.97%,-6.94%,-0.118%
1769365800,731,46.79%,NO,0.785,27.4%,28.25%,-0.43%,-0.170%
1769365800,732,46.17%,NO,0.835,19.8%,39.47%,-6.55%,-0.199%
1769365800,733,45.56%,NO,0.825,21.2%,53.69%,1.50%,-0.204%
1769365800,734,44.94%,NO,0.770,29.9%,46.52%,8.39%,-0.161%
1769365800,735,44.33%,NO,0.775,29.0%,45.87%,19.33%,-0.146%
1769365800,736,43.71%,NO,0.725,37.9%,49.24%,13.14%,-0.118%
1769365800,737,43.09%,NO,0.705,41.8%,35.74%,8.90%,-0.091%
1769365800,738,42.48%,NO,0.735,36.1%,6.94%,25.80%,-0.120%
1769365800,743,39.38%,NO,0.825,21.2%,13.26%,-20.01%,-0.166%
1769365800,744,38.76%,NO,0.855,17.0%,26.77%,-14.83%,-0.191%
1769365800,745,38.14%,NO,0.835,19.8%,18.25%,-15.09%,-0.171%
1769365800,746,37.50%,NO,0.825,21.2%,15.68%,6.32%,-0.141%
1769365800,750,35.03%,NO,0.765,30.7%,11.99%,26.17%,-0.099%
1769365800,752,33.79%,NO,0.805,24.2%,13.03%,0.52%,-0.126%
1769366700,807,99.53%,YES,0.585,70.9%,16.74%,30.65%,0.000%
1769366700,808,98.91%,YES,0.555,80.2%,15.21%,32.71%,-0.035%
1769366700,809,98.29%,YES,0.545,83.5%,15.31%,31.50%,-0.002%
1769366700,810,97.66%,YES,0.545,83.5%,15.10%,31.23%,-0.011%
1769366700,811,97.05%,YES,0.575,73.9%,15.29%,31.51%,-0.009%
1769366700,812,96.43%,YES,0.575,73.9%,15.55%,31.85%,-0.002%
1769366700,813,95.81%,YES,0.585,70.9%,18.86%,30.20%,0.024%
1769366700,814,95.19%,YES,0.645,55.0%,26.71%,32.17%,0.059%
1769366700,815,94.57%,YES,0.685,46.0%,22.90%,32.07%,0.086%
